match_key,career_match_index,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,is_back_to_back,match_density_3days,match_no,total_matches_that_day,first_match_of_day,last_match_of_day,same_day_opponent_seq,opponent,opponent_slug,season_opponent_seq,is_repeat_opponent,rivalry,match_type,game_importance,game_importance_score,result,set_scores,set_result,set_count,set_diff,comeback_win,revenge_match,redemption_game,location,injured,sick,forfeited,favorite_match,birthday_match,is_conference,is_playoffs,is_tournament,is_championship,maxpreps
JR_09-18_WCA_1,85,JR,13,2018-09-18,Tuesday,3,3,False,1,1,1,,,1,Washington Christian Academy,WCA,1,False,False,regular,low,0,W,"25-6,25-15,25-17",3-0,3,3,False,False,False,home,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/09-18-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=txnlzEGwrkWFBM3aMOgOGQ
JR_09-20_BIHS_1,86,JR,14,2018-09-20,Thursday,4,2,False,2,1,1,,,1,Bishop Ireton,BIHS,1,False,False,regular,low,0,L,"13-25,15-25,25-27",0-3,3,-3,False,False,False,away,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-20-2018/volleyball-18/bishop-ireton-vs-model-secondary-school-for-the-deaf.htm?c=LdyBEaaPEEyQrcStdGDcTQ#tab=box-score&schoolid=
JR_09-22_RB_1,87,JR,15,2018-09-22,Saturday,4,2,False,7,1,6,True,False,1,Riverdale Baptist,RB,2,True,False,regular,low,0,W,"25-15,25-21",2-0,2,2,False,True,False,home,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-22-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=L4mANmlkLk6CzD58AWzeLQ#tab=matchup&schoolid=
JR_09-22_BULLIS_2,88,JR,16,2018-09-22,Saturday,4,0,False,7,2,6,False,False,1,Bullis,BULLIS,1,False,False,regular,low,0,W,"25-13,25-19",2-0,2,2,False,False,False,home,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-22-2018/volleyball-18/bullis-vs-model-secondary-school-for-the-deaf.htm?c=3SD-UNh5mEOX8YOLnarH9A#tab=matchup&schoolid=
JR_09-22_SWW_3,89,JR,17,2018-09-22,Saturday,4,0,False,7,3,6,False,False,1,School Without Walls,SWW,2,True,False,regular,low,0,W,"25-11,21-25,15-8",2-1,3,1,False,False,False,home,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-22-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-school-without-walls.htm?c=lqOwny0Zw0a-06rgbao-Sw#tab=matchup&schoolid=
JR_09-22_MCLEAN_4,90,JR,18,2018-09-22,Saturday,4,0,False,7,4,6,False,False,1,McLean,MCLEAN,1,False,False,regular,low,0,W,"25-8,25-14",2-0,2,2,False,False,False,home,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-22-2018/volleyball-18/mclean-vs-model-secondary-school-for-the-deaf.htm?c=vbfUz_4fdkasJDsEZa5Aew#tab=matchup&schoolid=
JR_09-22_SIDWELL_5,91,JR,19,2018-09-22,Saturday,4,0,False,7,5,6,False,False,1,Sidwell Friends,SIDWELL,1,False,False,regular,low,0,L,"9-25,14-25",0-2,2,-2,False,False,False,home,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-22-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=V8E-v5TQb0-5SYbGZuxjag#tab=box-score&schoolid=
JR_09-22_MACA_6,92,JR,20,2018-09-22,Saturday,4,0,False,7,6,6,False,True,1,Mount Airy Christian Academy,MACA,1,False,False,regular,low,0,W,"14-25,25-19,15-8",2-1,3,1,True,False,False,home,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-22-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-mount-airy-christian-academy.htm?c=hU2aP2JC3E-i79LQGtxKMw#tab=box-score&schoolid=
JR_09-27_BOHS_1,93,JR,21,2018-09-27,Thursday,5,5,False,1,1,1,,,1,Bishop O'Connell,BOHS,1,False,False,regular,low,0,L,"10-25,7-25,3-25",0-3,3,-3,False,False,False,home,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-27-2018/volleyball-18/bishop-oconnell-vs-model-secondary-school-for-the-deaf.htm?c=AWUtist-nUCY1vJIbDNbdQ#tab=box-score&schoolid=
JR_10-02_CGC_1,94,JR,22,2018-10-02,Tuesday,5,5,False,1,1,1,,,1,Clinton Grace Christian,CGC,2,True,False,regular,low,0,W,"25-17,25-13,25-10",3-0,3,3,False,False,False,home,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/10-02-2018/volleyball-18/clinton-grace-christian-vs-model-secondary-school-for-the-deaf.htm?c=zs58NEQ3CEWFAWLCnEqX7A
