match_key,career_match_index,career_stage,season,season_match_number,season_stage,date,day_of_week,week_of_season,days_since_last_match,is_back_to_back,match_density_3days,match_no,total_matches_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_seq,opponent,opponent_slug,season_opponent_seq,is_repeat_opponent,rivalry,deaf_school,match_type,game_importance,game_importance_score,event_name,milestone_flag,result,set_scores,set_result,set_count,set_diff,comeback_win,revenge_match,redemption_game,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,location,injured,sick,forfeited,favorite_match,birthday_match,highlight_match,is_conference,is_playoffs,is_tournament,is_championship,maxpreps
SO_10-07_CSDF_3,61,mid,SO,25,late,2017-10-07,Saturday,6,0,False,7,3,3,True,False,True,1,California School for the Deaf,CSDF,2,True,False,True,regular,low,0,SpikeOut 2017 @ Maryland,,L,"17-25,25-21,10-15",1-2,3,-1,False,False,False,61,52,0.07964601769911504,False,True,neutral,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-07-2017/volleyball-17/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=CIFqlGLbYUSJTqp2kWgLpQ#tab=box-score&schoolid=
SO_10-10_BURKE_1,62,mid,SO,26,late,2017-10-10,Tuesday,7,3,False,1,1,1,False,,,1,Burke,BURKE,1,False,False,False,regular,low,0,,,W,"25-13,25-13,26-24",3-0,3,3,False,False,False,76,50,0.20634920634920634,False,False,home,False,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/10-10-2017/volleyball-17/burke-vs-model-secondary-school-for-the-deaf.htm?c=qRN855amgEGJuhLVyPzHdg#tab=box-score&schoolid=
SO_10-12_CGC_1,63,mid,SO,27,late,2017-10-12,Thursday,7,2,False,2,1,1,False,,,1,Clinton Grace Christian,CGC,1,False,False,False,regular,low,0,,,W,"25-8,26-24,25-16",3-0,3,3,False,False,False,76,48,0.22580645161290322,False,False,away,False,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/10-12-2017/volleyball-17/clinton-grace-christian-vs-model-secondary-school-for-the-deaf.htm?c=y9w5ED6PvUiDFWFn1eR4IQ#tab=box-score&schoolid=
SO_10-14_BELL_1,64,mid,SO,28,late,2017-10-14,Saturday,7,2,False,2,1,1,False,,,1,Bell,BELL,1,False,False,False,regular,low,0,,,W,"25-8,25-18,25-15",3-0,3,3,False,False,False,75,41,0.29310344827586204,False,False,home,False,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/10-14-2017/volleyball-17/bell-vs-model-secondary-school-for-the-deaf.htm?c=c9OwnbMPjUCLQC3kcrOvDQ#tab=box-score&schoolid=
SO_10-17_FIELD_1,65,mid,SO,29,late,2017-10-17,Tuesday,8,3,False,1,1,1,False,,,1,Field,FIELD,1,False,False,False,regular,low,0,,,W,"25-4,25-18,25-15",3-0,3,3,False,False,False,75,37,0.3392857142857143,False,False,home,False,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/10-17-2017/volleyball-17/field-vs-model-secondary-school-for-the-deaf.htm?c=8w7Gs_HmcUyUJ_S9f3kqHw#tab=box-score&schoolid=
SO_10-18_BIHS_1,66,mid,SO,30,late,2017-10-18,Wednesday,8,1,True,2,1,1,False,,,1,Bishop Ireton,BIHS,1,False,False,False,regular,low,0,,,L,"13-25,9-25,24-26",0-3,3,-3,False,False,False,76,46,0.2459016393442623,False,True,away,False,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/10-18-2017/volleyball-17/bishop-ireton-vs-model-secondary-school-for-the-deaf.htm?c=ewkFjQ4ws0izvro7VJS3Mw#tab=box-score&schoolid=
SO_10-20_KAA_1,67,mid,SO,31,late,2017-10-20,Friday,8,2,False,2,1,1,False,,,1,King Abdullah Academy,KAA,2,True,False,False,regular,low,0,,,L,"15-25,12-25,14-25",0-3,3,-3,False,False,False,75,41,0.29310344827586204,False,True,away,False,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/10-20-2017/volleyball-17/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=TKdaUiuchkKoNHv-qxDIgw#tab=box-score&schoolid=
SO_10-23_WCA_1,68,mid,SO,32,late,2017-10-23,Monday,8,3,False,1,1,1,False,,,1,Washington Christian Academy,WCA,2,True,False,False,playoff,high,2,PVAC Tournament Quarterfinals,,W,"25-13,25-12,25-16",3-0,3,3,False,False,False,75,41,0.29310344827586204,False,False,home,False,False,False,False,False,False,True,True,True,False,https://www.maxpreps.com/games/10-23-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=TqhVQMTbjkSmgW_8cVZouA#tab=box-score&schoolid=
SO_10-25_BURKE_1,69,mid,SO,33,late,2017-10-25,Wednesday,9,2,False,2,1,1,False,,,1,Burke,BURKE,2,True,False,False,playoff,high,2,PVAC Tournament Semifinals,,W,"25-14,25-17,25-19",3-0,3,3,False,False,False,75,50,0.2,False,False,home,False,False,False,False,False,False,True,True,True,False,https://www.maxpreps.com/games/10-25-2017/volleyball-17/burke-vs-model-secondary-school-for-the-deaf.htm?c=t8WQCuybzE2a7UwSAoYrzQ#tab=box-score&schoolid=
SO_10-30_WIS_1,70,mid,SO,34,late,2017-10-30,Monday,9,5,False,1,1,1,False,,,1,Washington International,WIS,2,True,True,False,championship,high,3,PVAC Tournament Championship,,L,"15-25,25-22,18-25,27-25,5-15",2-3,5,-1,False,False,False,112,90,0.10891089108910891,False,True,neutral,False,False,False,False,False,False,True,True,True,True,https://www.maxpreps.com/games/10-30-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=2xDX85iRNUeMz7kyjsoDdg#tab=box-score&schoolid=
